callsign_group_simplified,quarter,hour,count
HEMS (helo or car) available and sent,3,0,23
HEMS (helo or car) available and sent,3,1,12
HEMS (helo or car) available and sent,3,6,2
HEMS (helo or car) available and sent,3,7,31
HEMS (helo or car) available and sent,3,8,49
HEMS (helo or car) available and sent,3,9,70
HEMS (helo or car) available and sent,3,10,113
HEMS (helo or car) available and sent,3,11,93
HEMS (helo or car) available and sent,3,12,90
HEMS (helo or car) available and sent,3,13,102
HEMS (helo or car) available and sent,3,14,95
HEMS (helo or car) available and sent,3,15,124
HEMS (helo or car) available and sent,3,16,81
HEMS (helo or car) available and sent,3,17,73
HEMS (helo or car) available and sent,3,18,63
HEMS (helo or car) available and sent,3,19,53
HEMS (helo or car) available and sent,3,20,48
HEMS (helo or car) available and sent,3,21,27
HEMS (helo or car) available and sent,3,22,36
HEMS (helo or car) available and sent,3,23,29
No HEMS available,3,0,3
No HEMS available,3,1,4
No HEMS available,3,2,16
No HEMS available,3,3,16
No HEMS available,3,4,6
No HEMS available,3,5,14
No HEMS available,3,6,4
No HEMS available,3,7,4
No HEMS available,3,8,4
No HEMS available,3,9,1
No HEMS available,3,10,5
No HEMS available,3,11,6
No HEMS available,3,12,6
No HEMS available,3,13,10
No HEMS available,3,14,9
No HEMS available,3,15,9
No HEMS available,3,16,5
No HEMS available,3,17,8
No HEMS available,3,18,15
No HEMS available,3,19,12
No HEMS available,3,20,13
No HEMS available,3,21,8
No HEMS available,3,22,8
No HEMS available,3,23,5
HEMS (helo or car) available and sent,4,0,14
HEMS (helo or car) available and sent,4,1,12
HEMS (helo or car) available and sent,4,2,1
HEMS (helo or car) available and sent,4,5,1
HEMS (helo or car) available and sent,4,6,3
HEMS (helo or car) available and sent,4,7,28
HEMS (helo or car) available and sent,4,8,61
HEMS (helo or car) available and sent,4,9,70
HEMS (helo or car) available and sent,4,10,69
HEMS (helo or car) available and sent,4,11,89
HEMS (helo or car) available and sent,4,12,82
HEMS (helo or car) available and sent,4,13,78
HEMS (helo or car) available and sent,4,14,81
HEMS (helo or car) available and sent,4,15,70
HEMS (helo or car) available and sent,4,16,57
HEMS (helo or car) available and sent,4,17,46
HEMS (helo or car) available and sent,4,18,54
HEMS (helo or car) available and sent,4,19,40
HEMS (helo or car) available and sent,4,20,45
HEMS (helo or car) available and sent,4,21,26
HEMS (helo or car) available and sent,4,22,33
HEMS (helo or car) available and sent,4,23,27
No HEMS available,4,0,3
No HEMS available,4,1,4
No HEMS available,4,2,21
No HEMS available,4,3,16
No HEMS available,4,4,13
No HEMS available,4,5,21
No HEMS available,4,6,8
No HEMS available,4,7,2
No HEMS available,4,8,4
No HEMS available,4,9,11
No HEMS available,4,10,7
No HEMS available,4,11,5
No HEMS available,4,12,8
No HEMS available,4,13,10
No HEMS available,4,14,14
No HEMS available,4,15,4
No HEMS available,4,16,4
No HEMS available,4,17,8
No HEMS available,4,18,12
No HEMS available,4,19,6
No HEMS available,4,20,13
No HEMS available,4,21,8
No HEMS available,4,22,8
No HEMS available,4,23,3
